first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Caoimhín,Kelleher,0,0,114,2700,39,23.0,687.4,0.0,8,442,71.1,8,0,1,13.5,48,GK,23.8
Ellery,Balcombe,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39,GK,0.0
Matthew,Cox,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,GK,0.0
Julian,Eyestone,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39,GK,0.0
Hákon Rafn,Valdimarsson,0,0,1,90,3,0.0,13.0,0.0,0,1,1.3,0,0,0,0.6,38,GK,0.3
Nathan,Collins,1,2,105,2341,34,117.7,703.6,279.0,7,364,110.2,7,0,5,2.9,49,DEF,21.4
Keane,Lewis-Potter,3,2,89,1332,22,215.0,271.4,238.0,3,258,72.4,7,0,1,1.7,48,DEF,18.5
Kristoffer,Ajer,0,2,70,1624,27,58.3,358.2,161.0,1,196,57.9,5,0,3,0.3,44,DEF,15.9
Rico,Henry,0,2,52,1322,22,82.0,151.6,35.0,0,144,26.9,4,0,2,0.1,43,DEF,12.1
Michael,Kayode,1,1,92,2628,39,406.2,502.0,98.0,7,419,100.9,8,0,6,1.1,45,DEF,20.4
Ethan,Pinnock,0,0,14,318,5,1.2,88.6,33.0,2,53,12.3,1,0,1,0.1,42,DEF,3.3
Mads,Roerslev Rasmussen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Sepp,van den Berg,0,2,90,2303,36,69.2,522.6,260.0,3,335,85.3,6,0,1,1.5,46,DEF,19.6
Benjamin,Arthur,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,38,DEF,0.0
Benjamin,Fredrick,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
